ISBN 10,ISBN 13,Title,Authors,Binding,Publisher,Publication Date,Bookshelf,Bookshelf Date,Date Added,Tags,Favorite,Rating,Review
014006110X,9780140061109,Waiting for the Barbarians: A Novel,J.M. Coetzee,Paperback,Penguin (Non-Classics),1982-04-29,Read,2008-05-10,2008-05-10 18:48:53 -0700,fiction,false,,
8175300523,9788175300521,Hungry Tide,Amitav Ghosh,Hardcover,Ravi Dayal,2004-01,Read,2008-05-10,2008-05-10 18:48:51 -0700,fiction,false,,
0525947604,9780525947608,Transmission,Hari Kunzru,Hardcover,Dutton Adult,2006-05-17,Read,2008-05-10,2008-05-10 18:48:50 -0700,fiction,true,5.0,
0395927218,9780395927212,The Namesake: A Novel,Jhumpa Lahiri,Hardcover,Houghton Mifflin,2003-09-16,Read,2008-05-10,2008-05-10 18:48:48 -0700,"fiction, indian",false,,
0066212340,9780066212340,How Soccer Explains the World: An Unlikely Theory of Globalization,Franklin Foer,Hardcover,HarperCollins,2004-07-01,Read,2008-05-10,2008-05-10 18:48:47 -0700,globalisation,false,4.0,
0446516961,9780446516969,Maverick: The Success Story Behind the World's Most Unusual Workplace,Ricardo Semler,Hardcover,Warner Books,1993-09,Read,2008-05-10,2008-05-10 18:48:45 -0700,biz,false,5.0,
1864501723,9781864501728,The Age of Kali: Indian Travels and Encounters,"Permissions, HarperCollins (UK) Publishers",Paperback,Lonely Planet,2000-04-01,Read,2008-05-10,2008-05-10 18:48:44 -0700,"travel, indian",false,4.0,
0806523794,9780806523798,The Minority Report and Other Classic Stories,Philip K. Dick,Paperback,Citadel,2002-05-01,Read,2008-05-10,2008-05-10 18:48:42 -0700,"",false,,
0385608136,9780385608138,Q and A,Vikas Swarup,Hardcover,Doubleday,2005-04-01,Read,2008-05-10,2008-05-10 18:48:41 -0700,"fiction, indian",false,,
0738203491,9780738203492,The Pleasure of Finding Things Out: The Best Short Works of Richard P. Feynman,"Richard Phillips Feynman, Jeffrey Robbins",Paperback,Perseus Books Group,,Read,2008-05-10,2008-05-10 18:47:46 -0700,"",false,,
1591841003,9781591841005,All Marketers Are Liars: The Power of Telling Authentic Stories in a Low-Trust World,Seth Godin,Hardcover,Portfolio Hardcover,2005-05-19,Read,2008-05-10,2008-05-10 18:47:46 -0700,"",false,5.0,
0393317552,9780393317558,"Guns, Germs, and Steel: The Fates of Human Societies",Jared M. Diamond,Paperback,NORTON & COMPANY,1999-04-01,Read,2008-05-10,2008-05-10 18:47:46 -0700,evolution,false,,
0553208845,9780553208849,Siddhartha,Hermann Hesse,Mass Market Paperback,Bantam Classics,1981-12-31,Read,2008-05-10,2008-05-10 18:47:46 -0700,"",false,,
0596007868,9780596007867,The Art of Project Management (Theory in Practice (O'Reilly)),Scott Berkun,Paperback,"O'Reilly Media, Inc.",2005-04-22,Read,2008-05-10,2008-05-10 18:47:46 -0700,"",true,5.0,
0151011095,9780151011094,If You Are Afraid of Heights,Raj Kamal Jha,Hardcover,Harcourt,2004-09-06,Read,2008-05-10,2008-05-10 18:47:40 -0700,"",false,,
0767904338,9780767904339,The Second Coming of Steve Jobs,Alan Deutschman,Paperback,Broadway,2001-09-11,Read,2008-05-10,2008-05-10 18:47:39 -0700,"",false,4.0,
006000438X,9780060004385,The Death of Vishnu: A Novel,Manil Suri,Paperback,Harper Perennial,2002-01-01,Read,2008-05-10,2008-05-10 18:47:39 -0700,"fiction, indian",false,,
0140296409,9780140296402,Disgrace,J. M. Coetzee,Paperback,Penguin (Non-Classics),2000-11-01,Read,2008-05-10,2008-05-10 18:47:39 -0700,"",false,,
1591840376,9781591840374,"Unstuck: A Tool for Yourself, Your Team, and Your World","Keith Yamashita, Sandra Spataro",Hardcover,Portfolio Hardcover,2004-04-26,Read,2008-05-10,2008-05-10 18:47:38 -0700,"",false,,
039592720X,9780395927205,Interpreter of Maladies,Jhumpa Lahiri,Paperback,Mariner Books,1999-06-01,Read,2008-05-10,2008-05-10 18:47:38 -0700,"fiction, indian",false,,
0767908171,9780767908177,A Short History of Nearly Everything,Bill Bryson,Hardcover,Broadway,2003-05-06,Read,2008-05-10,2008-05-10 18:47:36 -0700,"",false,,
0385338171,9780385338172,The Red Carpet: Bangalore Stories,Lavanya Sankaran,Hardcover,The Dial Press,2005-04-26,Read,2008-05-10,2008-05-10 18:47:35 -0700,"fiction, indian, bangalore",false,,
0553278320,9780553278323,"If You Meet the Buddha on the Road, Kill Him! The Pilgrimage of Psychotherapy Patients",Sheldon Kopp,Mass Market Paperback,Bantam,1976,Read,2008-05-10,2008-05-10 18:47:34 -0700,"buddhism, psychology",true,5.0,
0679775471,9780679775478,Ka: Stories of the Mind and Gods of India,Roberto Calasso,Paperback,Vintage,1999-11-02,Read,2008-05-10,2008-05-10 18:47:33 -0700,"nonfiction, indian, mythology",true,5.0,
0806512091,9780806512099,"We Can Remember It for You Wholesale (The Collected Short Stories of Philip K. Dick, Vol. 2)",Philip K. Dick,Paperback,Citadel,2002-04-01,Read,2008-05-10,2008-05-10 18:47:31 -0700,"",false,,
1400032717,9781400032716,The Curious Incident of the Dog in the Night-Time,Mark Haddon,Paperback,Vintage,2004-05-18,Read,2008-05-10,2008-05-10 18:47:31 -0700,"",true,5.0,
0140104801,9780140104806,No Full Stops in India,Mark Tully,Paperback,Penguin USA (P),1991-06-01,Read,2008-05-10,2008-05-10 18:47:31 -0700,"",false,,
0071400206,9780071400206,Game Theory at Work: How to Use Game Theory to Outthink and Outmaneuver Your Competition,James D. Miller,Hardcover,McGraw-Hill,2003-03-13,Read,2008-05-10,2008-05-10 18:47:31 -0700,"",false,,
0142001007,9780142001004,City of Djinns: A Year in Delhi,William Dalrymple,Paperback,Penguin (Non-Classics),2003-03-25,Read,2008-05-10,2008-05-10 18:47:31 -0700,"travel, delhi, indian",true,5.0,
0441569595,9780441569595,Neuromancer,William Gibson,Mass Market Paperback,Ace,1986-08-15,Read,2008-05-10,2008-05-10 18:47:31 -0700,"",false,3.0,
